uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,11
AC,OUTRAS,DOMICILIO,"< 9",I,1
AC,OUTRAS,DOMICILIO,"< 9",M,19
AC,OUTRAS,HOSPITAL,"< 9",F,54
AC,OUTRAS,HOSPITAL,"< 9",I,6
AC,OUTRAS,HOSPITAL,"< 9",M,53
AC,OUTRAS,IGNORADO,"< 9",I,1
AC,OUTRAS,IGNORADO,"< 9",M,1
AC,OUTRAS,OUTRO,"< 9",F,2
AC,OUTRAS,OUTRO,"< 9",I,1
AC,OUTRAS,OUTRO,"< 9",M,9
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,8
AC,OUTRAS,VIA_PUBLICA,"< 9",M,2
AC,COVID,HOSPITAL,"< 9",M,7
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INDETERMINADA,HOSPITAL,"< 9",M,1
AC,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,3
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,15
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AC,PNEUMONIA,DOMICILIO,"< 9",F,2
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,27
AC,PNEUMONIA,HOSPITAL,"< 9",I,1
AC,PNEUMONIA,HOSPITAL,"< 9",M,24
AC,PNEUMONIA,IGNORADO,"< 9",F,1
AC,SEPTICEMIA,DOMICILIO,"< 9",F,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,40
AC,SEPTICEMIA,HOSPITAL,"< 9",M,42
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AC,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
AC,SRAG,DOMICILIO,"< 9",F,1
AC,SRAG,DOMICILIO,"< 9",M,1
AC,SRAG,HOSPITAL,"< 9",F,1
AC,SRAG,HOSPITAL,"< 9",M,4
AL,OUTRAS,DOMICILIO,"< 9",F,14
AL,OUTRAS,DOMICILIO,"< 9",M,20
AL,OUTRAS,HOSPITAL,"< 9",F,220
AL,OUTRAS,HOSPITAL,"< 9",I,6
AL,OUTRAS,HOSPITAL,"< 9",M,284
AL,OUTRAS,OUTRO,"< 9",F,7
AL,OUTRAS,OUTRO,"< 9",M,6
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
AL,OUTRAS,VIA_PUBLICA,"< 9",F,3
AL,OUTRAS,VIA_PUBLICA,"< 9",M,2
AL,COVID,HOSPITAL,"< 9",F,3
AL,COVID,HOSPITAL,"< 9",M,8
AL,COVID,POSTO_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",M,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,3
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,34
AL,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AL,PNEUMONIA,DOMICILIO,"< 9",M,3
AL,PNEUMONIA,HOSPITAL,"< 9",F,32
AL,PNEUMONIA,HOSPITAL,"< 9",M,49
AL,PNEUMONIA,OUTRO,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,99
AL,SEPTICEMIA,HOSPITAL,"< 9",M,117
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,SRAG,HOSPITAL,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",M,3
AL,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,OUTRAS,DOMICILIO,"< 9",F,58
AM,OUTRAS,DOMICILIO,"< 9",M,62
AM,OUTRAS,HOSPITAL,"< 9",F,307
AM,OUTRAS,HOSPITAL,"< 9",I,4
AM,OUTRAS,HOSPITAL,"< 9",M,346
AM,OUTRAS,IGNORADO,"< 9",F,2
AM,OUTRAS,IGNORADO,"< 9",M,1
AM,OUTRAS,OUTRO,"< 9",F,44
AM,OUTRAS,OUTRO,"< 9",M,68
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
AM,OUTRAS,VIA_PUBLICA,"< 9",F,2
AM,OUTRAS,VIA_PUBLICA,"< 9",M,2
AM,COVID,DOMICILIO,"< 9",F,1
AM,COVID,HOSPITAL,"< 9",F,7
AM,COVID,HOSPITAL,"< 9",M,17
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,OUTRO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,50
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,16
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,14
AM,PNEUMONIA,DOMICILIO,"< 9",F,2
AM,PNEUMONIA,DOMICILIO,"< 9",M,5
